bar,open,close,low,high,volume,length,timestamp
85,92945.6,92892.2,92891.2,92945.6,10.79404,1388,2025-04-28
86,92892.2,92934.1,92891.0,92941.1,10.763567,1526,2025-04-28
87,92934.1,92837.1,92837.1,92939.9,10.673336,1928,2025-04-28
88,92837.1,92895.2,92813.9,92898.6,10.857996,970,2025-04-28
89,92895.2,93015.6,92831.1,93015.6,10.571459,1377,2025-04-28
90,93016.0,93049.0,92967.0,93049.9,10.76521,1680,2025-04-28
91,93049.0,92980.1,92980.1,93049.0,10.926003,378,2025-04-28
92,92980.1,92936.8,92936.8,92996.5,10.726673,556,2025-04-28
93,92936.8,92923.7,92917.0,92936.8,10.779035,295,2025-04-28
94,92923.7,92913.9,92884.8,92931.0,10.781735,690,2025-04-28
95,92913.9,92862.6,92853.0,92941.7,10.769825,1451,2025-04-28
96,92862.6,92838.5,92800.0,92862.6,10.7695,1045,2025-04-28
97,92838.5,92873.5,92830.6,92921.1,10.766323,1147,2025-04-28
98,92873.5,93012.4,92861.1,93023.5,10.677620000000001,1185,2025-04-28
99,93012.1,92994.7,92940.2,93012.1,9.148601,1253,2025-04-28
100,92994.7,92918.5,92872.9,93008.6,12.450398,1764,2025-04-28
101,92918.5,92920.0,92850.0,92930.0,10.768828,2367,2025-04-28
102,92919.8,92844.8,92844.8,92957.2,10.761632,1047,2025-04-28
103,92844.8,92941.4,92800.0,92944.1,10.758138,1360,2025-04-28
104,92941.4,92939.0,92887.6,92954.2,10.777692,2190,2025-04-28
105,92939.0,92961.8,92886.4,92967.3,10.75515,1966,2025-04-28
106,92961.7,92969.1,92957.6,93041.36,10.554623,1270,2025-04-28
107,92969.1,93075.9,92969.1,93075.9,10.89687,954,2025-04-28
108,93075.9,93153.1,93071.7,93154.7,10.737322,846,2025-04-28
109,93153.1,93109.4,93109.4,93180.5,10.797956,856,2025-04-28
110,93109.1,93109.3,93085.7,93135.8,10.712626,845,2025-04-28
111,93111.0,93107.8,93056.1,93117.7,10.669049,1122,2025-04-28
112,93107.8,93151.1,93103.2,93176.7,10.738013,911,2025-04-28
113,93152.7,93235.3,93146.1,93235.4,10.830515,1431,2025-04-28
